CACHACA,REGIÃO,PREÇO,ESTOQUE
30 LUAS,RS,12,1
COBIÇADA,MG,8,1
A TAL CACHAÇA,SP,8,1
COLOMBINA,MG,8,1
ABAÍRA,BA,6,1
COLUNINHA,MG,6,1
ACAYU,CE,6,1
COQUINHO,SP,5,1
ALTO CAPARAO,MG,7,1
CONTRA VENENO,MG,6,1
ARMAZEM VIEIRA-SAFIRA,SC,9,1
CRISTALINA,MG,8,1
ARMAZEM VIEIRA-DESTERRO,SC,14,1
CRISTALVANA,MG,6,1
AROMA DE MINAS,MG,7,1
DELICANA PRATA,MG,6,1
ARTISTA,MG,9,1
DELICANA OURO,MG,6,1
BALANCA BICHA,MG,7,1
DESTILARIA 36,SP,6,1
BANANA (CACHAÇA),SP,7,1
DONA BEIJA,MG,10,1
BANDARRA,MG,5,1
DOURADINHA,MG,6,1
BIQUINHA,MG,11,1
DUVIDO,MG,6,1
BOAZINHA,MG,6,1
ESPIRITO DE MINAS,MG,12,1
BOCAINA,MG,10,1
ESTAÇÃO DE MINAS,SP,6,1
BRANQUINHA DA MOENDA,SP,5,1
FAGULHA,MG,6,1
BREJINHO,MG,5,1
FAISCA,MG,6,1
BUSCA VIDA,SP,10,1
FERREIRA JAUÁRIA,MG,7,1
CACHOEIRA,MG,6,1
FLOR DA MONTANHA,MG,7,1
CANELINHA DA SERRA,SP,6,1
FLOR DE LIMÃO,PE,6,1
CARANGUEIJO,PB,6,1
GABRIELA CRAVO/CANELA,RN,7,1
CARCARÁ,MG,5,1
GERMANA,MG,10,1
CARIBE,MG,6,1
GOTAS DA MOENDA,RS,8,1
CASA BUCCO,RS,16,1
ILHA GRANDE,MG,7,1
CARNAVAL,ES,7,1
INSINUANTE,MG,5,1
MAGNIFICA,RJ,7,1
PRIMEIRA DAMA,MG,7,1
MARABO PRATA,MG,6,1
PROVIDÊNCIA,MG,7,1
MARABO OURO,MG,15,1
QUINTA DO CEDRO,MG,6,1
MANGUEIRA OURO,PI,7,1
RAINHA DA LAVOURA,MG,7,1
MANGUEIRA PRATA,PI,7,1
RAINHA DO VALE,MG,6,1
MARIA ISABEL,RJ,15,1
RAINHA NORTE DE MINAS,MG,7,1
MARIMBONDO,PB,6,1
RAINHA PARAIBANA,PB,6,1
MEIA LUA,MG,6,1
RECORDAÇÕES,PE,7,1
MILAGRE DE MINAS,MG,7,1
RESERVA DO TANOEIRO,SP,7,1
MINAS AGUANORTE,MG,7,1
ROXINHA OURO,MG,7,1
MINHA DEUSA,MG,5,1
RUMO CERTO,MG,7,1
MONTE ALTO PRATA,MG,7,1
SABOR DE MINAS,MG,6,1
MOTINHA,MG,10,1
SAGARANA,MG,16,1
MUCURI,PE,5,1
SAGATIBA,SP,6,1
MURYCANA,RJ,6,1
SAIDEIRA,MG,6,1
NÊGA FULÔ,RJ,10,1
SALIBOA,MG,7,1
NORONHA,MG,6,1
SALICANA,MG,7,1
OPINIÃO,MG,7,1
SALIDEIRA,MG,7,1
PADILHA,SP,6,1
SALINAS,MG,7,1
PAI INÁCIO,BA,12,1
SALINEIRA,MG,9,1
PALADAR,MG,6,1
SALINENSE,MG,7,1
PARAISO OURO,MG,6,1
SALINISSINA,MG,7,1
PARAISO PRATA,MG,6,1
SALIVANA,MG,7,1
PAROL,MG,8,1
SALTO DO MEIO,MG,7,1
PAU DA VIDA,MG,6,1
SANTA DOSE,PE,7,1
PERSEGUIDA,MG,7,1
SANTA ROSA,MG,7,1
PINGO VERDE,MG,7,1
SANTA TERESINHA PRATA,ES,8,1
PIRAPORA,MG,7,1
SANTO GRAU,MG,8,1
PISCO CHAPEL,CHILE,9,1
SAPEZINHA,MG,7,1
PIONEIRA,MG,6,1
SAPURARA,CE,6,1
PITÚ,PE,6,1
SÃO FRANCISCO,PE,6,1
PORTAL DO CERRADO,MG,7,1
SEGREDO DE MINAS,MG,7,1
PORTEIRINHA,MG,7,1
SEGREDO PATRIARCA,MG,7,1
PORTO ESTRELA,MG,7,1
SELETA,MG,7,1
POÇÕES,MG,7,1
SEM RESSACA,MG,8,1
SENTINELA OURO,MG,9,1
TRÊS CORONÉIS,SP,8,1
SENTINELA PRATA,MG,8,1
TREM DE MINAS,MG,6,1
SERRA DAS ALMAS,BA,8,1
TREPADEIRA,SP,6,1
SERRA DA CAMPINA,MG,7,1
TRÊS JOTAS,MG,6,1
SERRA DA BOA ESPERANÇA,MG,8,1
TRÊS PONTES,SP,6,1
SERRA GRANDE,PE,6,1
VALE DO SOL,MG,7,1
SERRA LIMPA,PB,10,1
VAL FLOR,MG,8,1
SERRA MORENA,MG,7,1
VALE VERDE,MG,10,1
SERRA PRETA,PB,6,1
VEIO DE MINAS,MG,8,1
SINHA BRABA,MG,6,1
VELHA MOTINHA,MG,8,1
SOLAR,SC,6,1
VELHA JANUÁRIA,MG,7,1
SOLAR COM AGRIÃO,SC,7,1
VELHO PESCADOR,RS,12,1
TABUA OURO,MG,6,1
VERITAS,RJ,6,1
TABUA PRATA,MG,6,1
VOLUPIA PRATA,PB,6,1
TAPERA,MG,6,1
WEBER HAUS,RS,12,1
TERRA BRASILIS,PE,6,1
YPIOCA,CE,6,1
TERRA VERMELHA PRATA,PR,7,1
YPIOCA MEL E LIMÃO,CE,7,1
TERRA ROXA,SP,6,1
ZANONI,SP,6,1
LICOR DE AMORA,MG,10,1
LICOR DE CACHAÇA,MG,10,1
LICOR DE COCO,MG,10,1
LICOR DE MARACUJA,MG,10,1
